study_name,scan_value,n_events,events_with_candidate,candidate_efficiency,tracking_efficiency_mean,reconstructed_tracks_mean,truth_mass,mass_mean,mass_width,residual_mean,residual_width,abs_residual_mean
baseline,0.0,10,10,1.0,1.0,2.0,3.0969,2.999820101610703,0.028567944976873556,-0.09707989838929695,0.028567944976873556,0.09707989838929695
hit_resolution_scale,0.5,10,9,0.9,0.9,1.8,3.0969,3.0063554457825026,0.015215934573395307,-0.09054455421749778,0.015215934573395307,0.09054455421749778
hit_resolution_scale,1.0,10,10,1.0,1.0,2.0,3.0969,2.999820101610703,0.028567944976873556,-0.09707989838929695,0.028567944976873556,0.09707989838929695
hit_resolution_scale,2.0,10,10,1.0,1.0,2.0,3.0969,2.9861881292979793,0.055811068516446634,-0.11071187070202107,0.055811068516446634,0.11071187070202107
hit_resolution_scale,5.0,10,10,1.0,1.0,2.0,3.0969,2.9561525465702547,0.13546591561380933,-0.14074745342974565,0.13546591561380933,0.1605766500062808
material_budget,0.005,10,10,1.0,1.0,2.0,3.0969,3.0072963592903776,0.04672794394250511,-0.08960364070962253,0.04672794394250511,0.08960364070962253
material_budget,0.02,10,10,1.0,1.0,2.0,3.0969,3.006786601539686,0.050720922645048246,-0.09011339846031415,0.050720922645048246,0.09011339846031415
bfield_reco_scale,0.98,10,10,1.0,1.0,2.0,3.0969,2.940176960481679,0.02800871091007486,-0.15672303951832106,0.02800871091007486,0.15672303951832106
bfield_reco_scale,1.02,10,10,1.0,1.0,2.0,3.0969,3.059467993547022,0.02912637650510876,-0.03743200645297797,0.02912637650510876,0.03904148501677671
