process_noise_scale,x_over_x0_per_layer,n_events,n_particles,min_hits,events_processed,truth_particles_generated,reconstructed_tracks_mean,tracking_efficiency_mean,fake_rate_mean,duplicate_rate_mean,mean_hits_per_track,mean_holes_per_track,mean_chi2_ndof,covariance_valid_rate_mean,covariance_trace_mean,momentum_uncertainty_mean,momentum_residual_mean,momentum_residual_std
0.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,1.1026894704482144,1.0,0.005570812159247147,0.2661357044466486,0.018677293669547842,0.07940106976111788
0.5,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,1.102015041059265,1.0,0.005578399283682092,0.26765607808585923,0.018678244624467575,0.07939465570133855
1.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,1.1000061134635917,1.0,0.005601074375984879,0.27214487115355634,0.01868112495628279,0.07937611612132764
2.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,1.0921772245494985,1.0,0.005690524627242197,0.2891573319251143,0.018693126682371383,0.07931196182037305
5.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,1.04482487344766,1.0,0.006270321222760603,0.38389397154598104,0.018808694674995387,0.07920628373469034
10.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,0.9330550063206519,1.0,0.007959856817425523,0.6026889783038617,0.019555009732073664,0.08092425996114955
20.0,0.02,10,5,4,10,50,5.0,1.0,0.0,0.0,5.96,0.04,0.7332704411649995,1.0,0.01290571132216622,1.0901479361094797,0.022380240234510927,0.08985718200339206
