x_over_x0_per_layer,n_events,n_particles,min_hits,events_processed,truth_particles_generated,measurements_mean,seeds_mean,reconstructed_tracks_mean,tracking_efficiency_mean,fake_rate_mean,duplicate_rate_mean,mean_hits_per_track,mean_holes_per_track,mean_chi2_ndof,covariance_valid_rate_mean,momentum_residual_mean,momentum_residual_std
0.0,10,5,4,10,50,30.0,2500.0,4.8,0.96,0.0,0.0,5.98,0.02,1.194948017348402,1.0,-0.0077282328533784216,0.06517533630955775
0.001,10,5,4,10,50,30.0,2500.0,4.7,0.94,0.0,0.0,6.0,0.0,0.9705138279393093,1.0,0.013501514515037302,0.06889474707700773
0.005,10,5,4,10,50,30.0,2500.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0184392383917262,1.0,0.0016740419416149779,0.05215234247208593
0.01,10,5,4,10,50,30.0,2500.0,5.0,1.0,0.0,0.0,6.0,0.0,0.9826494005154044,1.0,-0.005212845259315287,0.060937155221007816
0.02,10,5,4,10,50,30.0,2500.0,4.9,0.98,0.0,0.0,5.885,0.115,1.631185282159023,1.0,0.03919483059063523,0.21331458721004837
0.05,10,5,4,10,50,30.0,2500.0,4.9,0.98,0.0,0.0,5.95,0.05,1.9441558753718662,1.0,-0.005843466728705683,0.11854483912006512
