event_id,measurement_id,particle_id,layer_id,surface_id,x,y,z,r,phi,sigma_phi,sigma_z,is_noise
1,20,3,3,1003,25.9621565982,15.0321796413,-17.0125353514,30,0.524837814065,0.001,0.1,False
1,26,4,3,1003,23.3926528577,-18.7825395588,-22.2097003713,30,-0.67652177364,0.001,0.1,False
1,32,,3,1003,23.5772656376,18.5502707542,-69.3341539893,30,0.666631745349,0.001,0.1,True
1,3,0,4,1004,-4.17214138808,39.7818204239,0.242076966932,40,1.67528991707,0.001,0.1,False
1,9,1,4,1004,6.53197818315,39.4630619822,29.2180056931,40,1.4067622455,0.001,0.1,False
1,15,2,4,1004,39.9334114314,-2.3070872227,-14.9656696321,40,-0.0577092072355,0.001,0.1,False
1,21,3,4,1004,34.4823905523,20.2722653347,-22.4801695473,40,0.531476394474,0.001,0.1,False
1,27,4,4,1004,30.9564977575,-25.3317043759,-29.5512422886,40,-0.685800342628,0.001,0.1,False
1,33,,4,1004,-34.944961558,-19.4640607713,-13.8325434374,40,-2.63339722935,0.001,0.1,True
1,4,0,5,1005,-4.83710918535,49.7654737215,0.319201918728,50,1.66769005209,0.001,0.1,False
1,10,1,5,1005,8.5444634273,49.2645120217,36.5468424874,50,1.39906418341,0.001,0.1,False
1,16,2,5,1005,49.9516255789,-2.19888654111,-18.804007632,50,-0.0439919189615,0.001,0.1,False
1,22,3,5,1005,42.9650201818,25.5735613628,-28.3606613352,50,0.53689604175,0.001,0.1,False
1,28,4,5,1005,38.5146528915,-31.8845027035,-37.2137496958,50,-0.691495741046,0.001,0.1,False
1,34,,5,1005,45.9956657372,19.6060891918,-44.1633753787,50,0.402936966117,0.001,0.1,True
1,5,0,6,1006,-5.26145336108,59.7688640391,0.299030479528,60,1.65859999282,0.001,0.1,False
1,11,1,6,1006,10.5458324671,59.0659412655,43.6360633228,60,1.39411465806,0.001,0.1,False
1,17,2,6,1006,59.971357649,-1.85371565506,-22.5449225301,60,-0.0309001780394,0.001,0.1,False
1,23,3,6,1006,51.3662132554,31.0082591547,-34.1565138894,60,0.543113906389,0.001,0.1,False
1,29,4,6,1006,45.9204927675,-38.6174616461,-44.1848724009,60,-0.699224503011,0.001,0.1,False
1,35,,6,1006,-46.4129579646,38.0241677486,1.17424384412,60,2.45521908873,0.001,0.1,True
2,0,0,1,1001,-9.97139016485,0.755895614679,0.659137683834,10,3.0659309227,0.001,0.1,False
2,6,1,1,1001,3.94770058072,9.18779952573,2.68489169961,10,1.16497875797,0.001,0.1,False
2,12,2,1,1001,2.43112038904,9.6999821471,-0.672499666435,10,1.32522346568,0.001,0.1,False
2,18,3,1,1001,-5.84383230724,8.11477812172,6.33492464808,10,2.1949161195,0.001,0.1,False
2,24,4,1,1001,9.35057345045,-3.54496490077,-6.63731325358,10,-0.362375532009,0.001,0.1,False
2,30,,1,1001,-2.1305434202,-9.7704035093,-84.8730250562,10,-1.78549634341,0.001,0.1,True
2,1,0,2,1002,-19.9309611006,1.66035827632,1.33577602016,20,3.05847908326,0.001,0.1,False
2,7,1,2,1002,8.02537140064,18.3192088771,5.56027023075,20,1.15789493859,0.001,0.1,False
2,13,2,2,1002,4.75100878018,19.4275041004,-1.35852404786,20,1.33095300192,0.001,0.1,False
2,19,3,2,1002,-11.4966770216,16.3654030644,12.6108478601,20,2.18319741138,0.001,0.1,False
2,25,4,2,1002,18.6296445983,-7.27573653598,-13.4074456942,20,-0.372330059766,0.001,0.1,False
2,31,,2,1002,-14.2728511035,14.0102006187,18.3143085976,20,2.3654807206,0.001,0.1,True
2,2,0,3,1003,-29.8730842947,2.75659839729,1.95039479131,30,3.04957624452,0.001,0.1,False
2,8,1,3,1003,12.211265465,27.4022808493,8.37478935158,30,1.15158282723,0.001,0.1,False
2,14,2,3,1003,6.92688194576,29.1893526223,-2.02444228766,30,1.33779779402,0.001,0.1,False
2,20,3,3,1003,-16.8366564322,24.8299617435,18.6456900563,30,2.16665768752,0.001,0.1,False
2,26,4,3,1003,27.8267166355,-11.2104344825,-20.2150122637,30,-0.38297451294,0.001,0.1,False
2,32,,3,1003,-1.8918944052,-29.9402861636,48.5645021255,30,-1.63390134856,0.001,0.1,True
2,3,0,4,1004,-39.8062372522,3.93236262598,2.66837096704,40,3.0431245411,0.001,0.1,False
2,9,1,4,1004,16.5412879848,36.4195797862,10.9972842176,40,1.14446621543,0.001,0.1,False
2,15,2,4,1004,9.02099474144,38.969496454,-2.94576206767,40,1.3433145761,0.001,0.1,False
2,21,3,4,1004,-22.0287853838,33.3876116923,24.8780784041,40,2.15402247731,0.001,0.1,False
2,27,4,4,1004,36.9499180456,-15.3200377422,-26.8103362566,40,-0.393042777805,0.001,0.1,False
2,33,,4,1004,-10.5810711245,38.5751336207,-34.1515209849,40,1.83850951458,0.001,0.1,True
2,4,0,5,1005,-49.7200485935,5.28363207103,3.23064178057,50,3.03572234804,0.001,0.1,False
2,10,1,5,1005,21.0160930482,45.3687539281,13.8828750859,50,1.1369963193,0.001,0.1,False
2,16,2,5,1005,10.9504473376,48.7861425315,-3.65376660753,50,1.34999768412,0.001,0.1,False
2,22,3,5,1005,-27.0209109738,42.069827313,31.2691764418,50,2.14173041085,0.001,0.1,False
2,28,4,5,1005,45.9526405943,-19.7067202347,-33.8109183356,50,-0.405125826505,0.001,0.1,False
2,34,,5,1005,27.4909349891,41.7642010988,45.8575682337,50,0.988649156615,0.001,0.1,True
2,5,0,6,1006,-59.6182689183,6.75736717862,3.91731316684,60,3.02873041547,0.001,0.1,False
2,11,1,6,1006,25.5799607751,54.2739864645,16.7763965652,60,1.13036167187,0.001,0.1,False
2,17,2,6,1006,12.8155913478,58.6153616248,-4.13240143825,60,1.35554476741,0.001,0.1,False
2,23,3,6,1006,-31.7272237096,50.9252714836,37.3102030548,60,2.12796717483,0.001,0.1,False
2,29,4,6,1006,54.8344570941,-24.35533443,-40.5366933421,60,-0.417987722603,0.001,0.1,False
2,35,,6,1006,-5.82270953975,59.7167987556,-3.91533176154,60,1.6679944597,0.001,0.1,True
3,0,0,1,1001,9.98867473561,0.475790947985,3.99329109255,10,0.0475970644668,0.001,0.1,False
3,6,1,1,1001,-8.38306624013,5.45199050014,7.15033106187,10,2.56496611421,0.001,0.1,False
3,12,2,1,1001,-5.26370452182,8.50255342277,6.66113529825,10,2.12512244972,0.001,0.1,False
3,18,3,1,1001,5.49622676688,8.35413019572,-1.46399756016,10,0.988883816866,0.001,0.1,False
3,24,4,1,1001,-9.9338559424,1.14826221554,4.52742196242,10,3.02651259123,0.001,0.1,False
3,30,,1,1001,-6.87016251211,-7.266420512,86.9095048835,10,-2.32817115063,0.001,0.1,True
3,1,0,2,1002,19.9715684721,1.06604538514,7.72835291693,20,0.0533275413774,0.001,0.1,False
3,7,1,2,1002,-16.8594123871,10.7591920682,14.3550199953,20,2.57357790253,0.001,0.1,False
3,13,2,2,1002,-10.3207088799,17.1313446121,13.3418432966,20,2.11301236629,0.001,0.1,False
3,19,3,2,1002,11.0910056979,16.6430043144,-2.86225457391,20,0.982973883425,0.001,0.1,False
3,25,4,2,1002,-19.8924632357,2.07120892643,8.97643757393,20,3.03784619789,0.001,0.1,False
3,31,,2,1002,-18.6264962818,7.28379271152,96.253870279,20,2.76883011879,0.001,0.1,True
3,2,0,3,1003,29.945532331,1.80695694876,11.6075896403,30,0.0602683769087,0.001,0.1,False
3,8,1,3,1003,-25.417220868,15.9362757051,21.4668148679,30,2.58156551602,0.001,0.1,False
3,14,2,3,1003,-15.0860358561,25.9308989846,20.2343174586,30,2.09770980185,0.001,0.1,False
3,20,3,3,1003,16.8484779836,24.8219416976,-3.91724554291,30,0.974458788907,0.001,0.1,False
3,26,4,3,1003,-29.8609491923,2.88508463234,13.6826048294,30,3.0452743071,0.001,0.1,False
3,32,,3,1003,25.328427376,16.0770260515,97.6423054848,30,0.565574410699,0.001,0.1,True
3,3,0,4,1004,39.9146257417,2.61202065399,15.317827568,40,0.0653470142423,0.001,0.1,False
3,9,1,4,1004,-34.0171696403,21.0435778721,28.6607911244,40,2.58759699215,0.001,0.1,False
3,15,2,4,1004,-19.6266956082,34.8538781128,26.7204931695,40,2.08365184405,0.001,0.1,False
3,21,3,4,1004,22.6511674502,32.9685397484,-5.42326757158,40,0.968811890789,0.001,0.1,False
3,27,4,4,1004,-39.8554615373,3.39737923243,18.0740250099,40,3.05655572219,0.001,0.1,False
