event_id,particle_id,charge,x0,y0,z0,px,py,pz,pt,eta,phi
0,0,-1,0,0,0,3.81784743601,1.34264660349,-2.04378372447,4.04705558974,-0.485684037966,0.338167434556
0,1,-1,0,0,0,3.93160096012,-2.05502441832,2.26963502725,4.43628351997,0.491569534066,-0.481637582118
0,2,1,0,0,0,-4.65417968376,-0.380137916983,2.42256619793,4.66967807933,0.497951587272,-3.06009687986
0,3,-1,0,0,0,-2.89295835095,-3.07836922939,-1.81204377305,4.2244011567,-0.416775862508,-2.3251542693
0,4,-1,0,0,0,-4.36876495831,-0.500802379384,-2.35063289062,4.39737538586,-0.511902066341,-3.02745836093
1,0,-1,0,0,0,-0.492325793739,3.53164964762,0.0223709041019,3.56580060024,0.00627369835277,1.70930759596
1,1,-1,0,0,0,0.529568150704,3.94351651586,2.89600753563,3.97891504523,0.675323613357,1.43730662069
1,2,1,0,0,0,2.08899792084,-0.242365505328,-0.790860226099,2.10301054478,-0.367717866156,-0.11550358067
1,3,1,0,0,0,4.15859595303,2.29941773255,-2.7015731523,4.7519724546,-0.541640971268,0.505090918498
1,4,-1,0,0,0,3.44744915269,-2.65943380375,-3.21512235489,4.3540204199,-0.683862338071,-0.657070030979
2,0,-1,0,0,0,-4.257072565,0.294060094384,0.276298117948,4.26721667633,0.0647038671432,3.07262654438
2,1,-1,0,0,0,1.71938777942,4.06962316828,1.22580807092,4.41793244265,0.274019819781,1.17105094609
2,2,1,0,0,0,1.21330885669,4.7062471572,-0.337808102125,4.86013175607,-0.0694501121532,1.31848242806
2,3,-1,0,0,0,-1.26608724585,1.69939586299,1.31892678977,2.11917984448,0.587917272463,2.2111038734
2,4,-1,0,0,0,2.53634573904,-0.925695412454,-1.82177595926,2.69999290825,-0.631844720059,-0.349950228758
3,0,1,0,0,0,4.695344208,0.1897686616,1.80334763489,4.69917752129,0.37491324454,0.0403943622678
3,1,1,0,0,0,-3.2835331784,2.16938534987,2.82469411605,3.9354571437,0.667151377643,2.55774174724
3,2,-1,0,0,0,-1.18639961382,1.85662506307,1.4727196916,2.20331583493,0.626595585708,2.13940596975
3,3,-1,0,0,0,2.37383523491,3.65966185816,-0.590519323867,4.36213464242,-0.134963826948,0.995371576999
3,4,1,0,0,0,-2.96458872881,0.370569182608,1.34709145558,2.98765925937,0.436856802468,3.01723912322
4,0,-1,0,0,0,4.34540909803,1.62788752565,2.74398631174,4.64032305184,0.561380698135,0.358439570572
4,1,-1,0,0,0,-3.41653574436,3.55537047319,-0.635172365506,4.93085952894,-0.128462132957,2.33628366847
4,2,-1,0,0,0,3.71893795636,3.21654512205,-2.86292333087,4.91697692139,-0.553547307091,0.713086421803
4,3,1,0,0,0,2.31044514126,-0.852371136516,1.9087126785,2.46265980297,0.713075871891,-0.353430287136
4,4,1,0,0,0,-3.4946088488,3.04519631762,-1.38026467639,4.63524666215,-0.293542080812,2.42480618206
